name,Grade,email,phone_number,Sex
Mr. Paul Harper,A,ruben95@gomez.com,(706)544-1241x5540,Female
Zachary Smith,A,urosario@johnson-thomas.com,9433395368,Male
Bobby Williams,F,yjohnson@rojas-sanford.biz,(953)914-1223,Male
Morgan Wagner,A,mooredonald@hotmail.com,(016)000-4464x9154,Male
Timothy Ware,F,kelly54@yahoo.com,+1-380-715-2407x263,Female
Larry Wells,C,boothjoseph@gmail.com,928.934.0485,Male
Brenda Watson,F,sheila06@gmail.com,918.286.6882x5273,Female
Alexander Sharp,D,shawnsanders@hotmail.com,(256)471-7111,Male
Marc Smith,B,markdunn@yahoo.com,(774)494-4078x89783,Female
Danielle Martinez,A,camachoelizabeth@hotmail.com,931-440-5308x34320,Male
Diamond Gonzalez,B,uquinn@burch-gonzalez.com,530.181.3786x1482,Male
Terry Boyd,F,emoore@jones-ball.com,(716)441-8967,Male
Amanda Kelly,F,bmcintosh@gmail.com,+1-210-727-9235x17387,Female
Fred Miller,B,john81@yahoo.com,606-299-2118,Female
John Conway,B,edwardsdaniel@hotmail.com,072.622.7688x4177,Female
David Michael,F,zthomas@frost.com,485-925-9018,Female
Dr. Sarah Martinez,D,kathleen33@gmail.com,001-231-600-8268x56217,Female
Jennifer Carlson,B,alexandriatrujillo@hotmail.com,721-939-5351,Female
Michael Sharp,C,solislisa@yahoo.com,001-189-558-4531x69970,Male
Kristin Ruiz,F,shannongonzalez@jimenez-johnson.com,127-114-5895,Male
Nicholas Johnson,F,cooperanthony@garner.info,529.326.6841x15360,Female
Robert Ramirez,C,phillipleon@barnes.com,310-821-5940,Male
Miranda Butler,D,qhaynes@campbell.com,736-729-2473x664,Female
Alex Smith,D,bmays@wyatt.com,+1-157-305-0160x3950,Male
Michael Giles,B,mdudley@coleman.com,243-535-9392,Male
Miranda Price,A,heathmaria@jenkins.com,554-647-6022x614,Female
Abigail Conley,B,derekhenry@gmail.com,683-460-3247,Male
Alex Davis,D,beckjoseph@larson.com,+1-785-571-7730x793,Male
Kathy Wright,F,marcus07@powell-wolf.com,353-039-8684,Female
Elijah Ray,B,howellchristopher@mcintosh.com,068-320-0340x191,Male
David Anderson,A,johnnyriggs@gmail.com,001-142-756-9227x151,Male
Luis Owens,D,bernard87@campbell.com,(147)053-2692x48760,Female
Dennis Ortega,B,scott21@martin-rosario.org,001-719-430-9715x770,Female
Michael Nunez,D,sarahmurray@yahoo.com,(239)029-8945,Male
Steven Howell,A,fhudson@randall.biz,(891)589-4549x23674,Male
Jorge Jensen MD,F,zharvey@hotmail.com,513-355-5479x7046,Female
Alex Carter,F,michaelbaker@hotmail.com,001-191-140-8031x8055,Female
Jaclyn Allen,D,fshelton@simon-smith.com,+1-699-260-4851x583,Female
Jocelyn Adams,F,jesse12@hughes.com,+1-690-803-9350x646,Male
Matthew Morgan,A,clowe@martinez.com,360.051.1820x2102,Male
Rachel Stanton,D,justinwilliams@bush.org,681.458.9507x6116,Female
Tammy Dunn,D,robertfox@hotmail.com,(863)068-7613,Female
Jane Mathis,A,micheal69@graham.com,815-148-0491,Female
Michael Cooper,F,eric96@yahoo.com,704-142-3945,Male
Nicholas Scott,B,wtodd@gmail.com,196.876.5132x655,Female
Sherry Hughes,A,glenn57@yahoo.com,+1-072-994-7006x05530,Female
Diana Garcia,C,ofranklin@abbott-fox.net,641.162.2696x301,Female
Patrick Mason,F,odonnelljason@henry.net,532.474.3505,Male
Joel Buck,D,wwang@gomez.com,(503)385-0801,Female
Kyle Fowler,B,nathanhawkins@fields-gibson.com,001-642-314-8603x1331,Male
Debra Mooney,C,nhaynes@gmail.com,964.450.1768x486,Female
Ashley Harris,D,rmanning@yahoo.com,959-185-5143x01865,Female
Emily Ramirez,B,ywoods@yahoo.com,2182945760,Female
Nicholas Perez,F,johnfuller@butler.net,7997493060,Female
Jerry Kennedy,B,maciascharles@yahoo.com,(263)192-3745x993,Female
Sara Klein,A,snguyen@gmail.com,804.292.4482x0526,Female
Elizabeth Allen,C,joephillips@cannon.com,(464)743-3779,Male
Hannah King,A,jenniferrodriguez@reeves.com,+1-548-285-6264x073,Male
Anna Thomas,B,morgan62@bailey-thompson.com,(178)191-4333x92707,Female
Christopher Fitzpatrick,C,robert44@hotmail.com,(573)779-8641,Female
Judy Harrison,F,lorithomas@thornton-meyers.net,563-057-6945x61065,Female
Monique Cole,C,ylong@williams.org,001-661-424-5742x842,Male
Shawn Campbell,C,fwaters@stewart-friedman.com,393-198-9084x77261,Female
Ann Ortiz,A,shelby55@yahoo.com,001-787-262-1709x48430,Female
Jasmine Terry,C,ameza@yahoo.com,112-541-0530x255,Female
Anthony Mendez,A,lindasmith@gmail.com,074.218.7167,Male
Thomas Smith,B,harrisontammy@rice.net,106.417.4740,Female
Daniel Williams,B,williamcastro@banks.info,(048)511-3397,Female
Karen Rodriguez,B,moorejennifer@berry.net,-6217,Female
