name,Grade,email,phone_number,Sex
Ryan Santos,A,rachel01@example.com,208.698.0783x335,Female
Emily Baker,A,crodriguez@example.com,998-953-4080,Male
Christine Ramos,F,santiagojonathan@example.net,542.276.4167x9133,Male
Christopher Norris,A,tduncan@example.net,+1-785-804-8852x183,Male
Justin Lara,F,fmartin@example.org,(898)286-7655x0760,Female
Anthony Mitchell,C,amanda63@example.net,(539)496-0643,Male
Haley Holland,F,brandimurphy@example.org,452.866.9687,Female
Christopher Smith,D,sotoshelby@example.org,(258)332-7320x536,Male
Cody Turner,B,robert05@example.net,569.809.3177x09590,Female
Kelsey Berg,A,pjones@example.org,001-376-433-8212x0317,Male
Benjamin Graves,B,rebeccanorton@example.net,6004285789,Male
Stacey Edwards,F,richardfisher@example.com,289-512-3657x9085,Male
Jessica Bishop,F,leah29@example.org,345.227.1570,Female
Patrick Sullivan,B,alowe@example.net,+1-431-822-3443,Female
Marie Weiss,B,anna12@example.net,(814)586-1649x355,Female
Juan White,F,scalhoun@example.net,001-933-889-4309x072,Female
Jessica Dunlap,D,jvargas@example.org,460.369.2805,Female
Joseph Guerra,B,courtney31@example.net,222-249-4693x968,Female
Stephanie Perry,C,victoria51@example.com,781.557.6356x74863,Male
Karina Padilla,F,rothrachel@example.com,001-270-417-8939x5026,Male
Erin Torres,F,mortonjustin@example.net,667.587.9296,Female
James Martin,C,lori06@example.com,+1-235-599-5379,Male
Jose Hall,D,kchurch@example.org,(771)596-0849x247,Female
Jessica Walsh,D,qshepard@example.com,+1-860-290-7999x583,Male
Wendy Walker,B,welchbrandon@example.org,(555)257-5978x731,Male
Michael Frazier,A,yolanda39@example.com,+1-367-272-4874x595,Female
Jeffrey Lamb,B,wstone@example.org,531-465-3757,Male
Sandra Oneill,D,sean39@example.net,266.617.5831,Male
Anita Adams,F,monicadunn@example.net,(882)767-5535x34561,Female
Andrew Carpenter,B,acampbell@example.com,(619)392-9214x7184,Male
Michael Nichols,A,jasonstephens@example.org,687-202-6465x01373,Male
James Adams,D,toni87@example.org,(805)985-1782x85418,Female
Mario Martinez,B,kelly21@example.com,603-813-4548,Female
Kenneth Miller,D,sholden@example.net,+1-287-870-8959x801,Male
Marcus Anderson,A,meganrobbins@example.net,658-968-5882,Male
John Martin,F,gary38@example.com,001-688-441-6579,Female
Katherine Harris,F,lopezrichard@example.com,(745)311-4957,Female
James Poole,D,manningadam@example.org,6602120458,Female
Michael Duffy,F,lindsey68@example.net,(457)956-5030x31147,Male
Ronald Barker,A,jamesmcpherson@example.org,001-279-997-7323,Male
Maria Franklin,D,amymora@example.com,(871)969-9575x077,Female
Randy Garcia,D,alexandraandrews@example.net,887.550.6448,Female
Thomas Gallagher,A,davidramirez@example.net,439-985-6695,Female
Sarah Hardy,F,udavis@example.com,+1-520-727-7757x7269,Male
Jeffery Long,B,miguel70@example.com,671.769.9664x3973,Female
Kimberly Pruitt PhD,A,davidward@example.net,639.916.2181x862,Female
Sandra Brown,C,rogersjonathan@example.org,987.383.0418,Female
Noah Franklin,F,russell84@example.com,313-562-6589,Male
Christine Barr,D,rachel03@example.net,001-318-390-4628x032,Female
Michelle Gonzalez,B,rkennedy@example.net,(499)408-8630,Male
Robert Henderson,C,wilcoxheather@example.com,3802482117,Female
Jamie Smith,D,wardgloria@example.net,001-778-639-8315x748,Female
Jerry Herrera,B,amanda46@example.org,414.283.0589x0281,Female
Caitlin Nguyen,F,jenniferpalmer@example.net,001-970-895-9455x9204,Female
Brian Fox,B,caroljohnson@example.net,783.615.8146x8806,Female
Paul Fox,A,philipdavis@example.com,621-333-3700x466,Female
Ann Carson,C,shawncabrera@example.net,+1-548-867-0775x43013,Male
Susan Wilson,A,crystal67@example.net,001-840-748-7356x62001,Male
Gina Clark,B,tamaraschneider@example.com,(340)525-2017x712,Female
Joanna Hall,C,changrobert@example.com,733-870-4462x28461,Female
Diane Espinoza,F,xdavis@example.org,866.420.7063x37933,Female
Kenneth Hart,C,andrewlee@example.org,+1-885-475-9130x458,Male
Kathy Johnson,C,austin66@example.net,688.584.0695x614,Female
Angela Salazar,A,lkaiser@example.net,(832)857-4300x9081,Female
Kristina Berger,C,hensleyjohn@example.com,001-789-402-6785x94595,Female
Jay Williams,A,calebmcmahon@example.org,(994)486-4685x9351,Male
Victoria Sawyer,B,greenwendy@example.net,418.426.0016,Female
Hannah Arias,B,brittney09@example.com,9718843902,Female
Bonnie Vincent,B,nicole07@example.com,+1-826-396-7501,Female
Thomas Vang,C,thorntondevon@example.com,235-540-0790,Female
Holly Nguyen,F,randy95@example.net,483.517.9947,Male
Kristen Mayer,C,hooverlindsey@example.net,488.992.8844x79345,Male
Rebecca Downs,F,matthew32@example.com,+1-859-554-8912x8839,Male
Lisa Payne,A,darrylpearson@example.org,+1-587-407-9438,Male
Kimberly Morris,B,dakotataylor@example.com,001-875-270-8695x51294,Male
Katherine Mills,D,walkerstephen@example.org,+1-618-927-7145x1701,Female
Hannah Garcia,D,mark63@example.org,202-440-9091x692,Male
Lisa Wilson,F,melissawyatt@example.net,782-365-6904x47517,Female
Marc Shepherd,F,pereznicole@example.com,+1-406-296-0834x98666,Male
Christopher Pierce,A,laura71@example.org,(217)668-1536x16999,Female
Stephanie Smith,A,danderson@example.net,(997)394-7720,Male
Corey Marshall,B,ccarpenter@example.org,281.896.1301x773,Female
Renee Vaughan,B,aguilarandre@example.org,(732)478-6580x89174,Male
Jacob Norman,F,sonyaduran@example.net,742-594-4803x163,Female
Shannon Craig,D,harringtonleroy@example.net,001-350-924-2580,Male
Felicia Gilbert,B,jonathanalexander@example.org,266-862-0095x9039,Female
Amanda Stewart,B,michelle58@example.org,001-626-923-6699x865,Male
Marissa Sosa,A,hbarber@example.org,(454)445-7415x36026,Female
Hannah Brown,B,yvonnejimenez@example.net,001-555-358-1497x19598,Male
